Year,Entity,Gas production(m³),Gas consumption(m³),Coal production(Ton),Coal consumption(Ton),Oil production(m³),Oil consumption(m³),Gas production per capita(m³),Gas consumption per capita(m³),Coal production per capita(Ton),Coal consumption per capita(Ton),Oil production per capita(m³),Oil consumption per capita(m³),Population
1996,Fiji,0,0,0,22550,0,418100,0,0,0,0.02874,0,0.533,784400
1997,Fiji,0,0,0,22000,0,418100,0,0,0,0.02775,0,0.5274,792700
1998,Fiji,0,0,0,20000,0,406500,0,0,0,0.025,0,0.508,800100
1999,Fiji,0,0,0,18000,0,441300,0,0,0,0.02232,0,0.5474,806300
2000,Fiji,0,0,0,17000,0,583900,0,0,0,0.02096,0,0.72,811000
2001,Fiji,0,0,0,15000,0,608300,0,0,0,0.01843,0,0.7473,813900
2002,Fiji,0,0,0,16300,0,489200,0,0,0,0.02,0,0.6001,815300
2003,Fiji,0,0,0,16500,0,585000,0,0,0,0.02022,0,0.7168,816100
2004,Fiji,0,0,0,21.33,0,810100,0,0,0,0.00002608,0,0.9905,817900
2005,Fiji,0,0,0,3.543,0,685100,0,0,0,0.000004312,0,0.8339,821600
2006,Fiji,0,0,0,5.972,0,762300,0,0,0,0.000007214,0,0.9208,827900
2007,Fiji,0,0,0,0.11,0,693000,0,0,0,1.32E-07,0,0.8288,836200
2008,Fiji,0,0,0,6.701,0,513200,0,0,0,0.000007927,0,0.6071,845400
2009,Fiji,0,0,0,10.36,0,439400,0,0,0,0.00001213,0,0.5147,853600
2010,Fiji,0,0,0,5.01,0,667400,0,0,0,0.000005827,0,0.7762,859800
2011,Fiji,0,0,0,5.935,0,478300,0,0,0,0.000006874,0,0.5539,863500
2012,Fiji,0,0,0,3.038,0,468900,0,0,0,0.000003512,0,0.5421,865100
2013,Fiji,0,0,0,1.927,0,504300,0,0,0,0.000002226,0,0.5825,865600
2014,Fiji,0,0,0,2.777,0,568700,0,0,0,0.000003205,0,0.6563,866400
2015,Fiji,0,0,0,2.574,0,602700,0,0,0,0.000002963,0,0.6939,868600
2016,Fiji,0,0,0,0.644,0,576900,0,0,0,7.38E-07,0,0.6613,872400
2017,Fiji,0,0,0,3.921,0,635100,0,0,0,0.000004469,0,0.7238,877500
2018,Fiji,0,0,0,2.102,0,661200,0,0,0,0.000002379,0,0.7484,883500
2019,Fiji,0,0,0,1.141,0,669600,0,0,0,0.000001282,0,0.7524,890000
2020,Fiji,0,0,0,0,0,,0,0,0,0,0,,896400
2021,Fiji,,,,,,,,,,,,,902900
1980,Finland,0,906200000,0,5692000,0,15710000,0,189.3,0,1.189,0,3.281,4788000
1981,Finland,0,736300000,0,2686000,0,13990000,0,153.1,0,0.5585,0,2.91,4810000
1982,Finland,0,679700000,0,2995000,0,12830000,0,140.6,0,0.6194,0,2.654,4835000
1983,Finland,0,651400000,0,3148000,0,12080000,0,134,0,0.6475,0,2.484,4862000
1984,Finland,0,793000000,0,3795000,0,12440000,0,162.2,0,0.7764,0,2.545,4888000
1985,Finland,0,991200000,0,5318000,0,11920000,0,201.8,0,1.083,0,2.428,4911000
1986,Finland,0,1218000000,0,4548000,0,12950000,0,247,0,0.9225,0,2.627,4930000
1987,Finland,0,1614000000,0,5758000,0,13430000,0,326.3,0,1.164,0,2.714,4946000
1988,Finland,0,1728000000,0,5859000,0,13380000,0,348.2,0,1.181,0,2.697,4961000
1989,Finland,0,2294000000,0,5700000,0,13220000,0,460.9,0,1.145,0,2.656,4977000
1990,Finland,0,2690000000,0,5647000,0,13260000,0,538.5,0,1.13,0,2.654,4996000
1991,Finland,0,2832000000,0,5568000,0,13260000,0,564.2,0,1.109,0,2.641,5019000
1992,Finland,0,2941000000,0,4863000,0,13230000,0,583,0,0.964,0,2.623,5045000
1993,Finland,0,3044000000,0,5998000,0,12420000,0,600.3,0,1.183,0,2.449,5072000
1994,Finland,0,3374000000,0,7772000,0,12950000,0,662,0,1.525,0,2.54,5097000
1995,Finland,0,3486000000,0,6563000,0,11970000,0,681.1,0,1.282,0,2.339,5119000
1996,Finland,0,3649000000,0,7983000,0,11990000,0,710.4,0,1.554,0,2.334,5137000
1997,Finland,0,3588000000,0,6996000,0,12000000,0,696.5,0,1.358,0,2.33,5152000
1998,Finland,0,4104000000,0,5205000,0,12430000,0,794.8,0,1.008,0,2.407,5164000
1999,Finland,0,4104000000,0,5317000,0,12430000,0,793,0,1.027,0,2.402,5176000
2000,Finland,0,4200000000,0,5188000,0,12350000,0,809.5,0,1,0,2.381,5188000
2001,Finland,0,4552000000,0,5996000,0,12430000,0,875.2,0,1.153,0,2.391,5200000
2002,Finland,0,4530000000,0,6663000,0,12800000,0,868.8,0,1.278,0,2.455,5213000
2003,Finland,0,5012000000,0,8916000,0,13070000,0,958.8,0,1.706,0,2.5,5227000
2004,Finland,0,4841000000,0,7992000,0,12860000,0,923.4,0,1.525,0,2.452,5242000
2005,Finland,0,4436000000,0,4469000,0,12820000,0,843.4,0,0.8498,0,2.439,5259000
2006,Finland,0,4764000000,0,7826000,0,12970000,0,902.6,0,1.483,0,2.458,5277000
2007,Finland,0,4575000000,0,6888000,0,13250000,0,863.5,0,1.3,0,2.5,5298000
2008,Finland,0,4738000000,0,5102000,0,12690000,0,890.6,0,0.9591,0,2.385,5319000
2009,Finland,0,4270000000,0,5647000,0,11910000,0,799.2,0,1.057,0,2.23,5342000
2010,Finland,0,4720000000,0,6964000,0,12430000,0,879.6,0,1.298,0,2.317,5366000
2011,Finland,0,4121000000,0,5367000,0,12100000,0,764.7,0,0.9957,0,2.244,5390000
2012,Finland,0,3684000000,0,4625000,0,11620000,0,680.4,0,0.8542,0,2.146,5415000
2013,Finland,0,3489000000,0,5822000,0,12230000,0,641.6,0,1.07,0,2.248,5439000
2014,Finland,0,3084000000,0,4762000,0,12000000,0,564.8,0,0.8719,0,2.198,5461000
2015,Finland,0,2726000000,0,3798000,0,12010000,0,497.4,0,0.6929,0,2.192,5481000
2016,Finland,0,2491000000,0,4803000,0,12200000,0,453.2,0,0.8736,0,2.22,5498000
2017,Finland,0,2345000000,0,4401000,0,12130000,0,425.5,0,0.7985,0,2.201,5511000
2018,Finland,0,2597000000,0,4307000,0,12300000,0,470.2,0,0.7799,0,2.228,5523000
2019,Finland,0,2532000000,0,3559000,0,12040000,0,457.7,0,0.6434,0,2.177,5532000
2020,Finland,0,2393000000,0,2641000,0,10880000,0,431.9,0,0.4767,0,1.964,5541000
2021,Finland,,,,,,,,,,,,,5548000
1992,Former Serbia and Montenegro,846100000,2026000000,38420000,38420000,1336000,3278000,,,,,,,
1993,Former Serbia and Montenegro,962100000,962100000,36860000,36860000,1336000,1934000,,,,,,,
1994,Former Serbia and Montenegro,787300000,1630000000,33750000,33750000,1394000,1883000,,,,,,,
1995,Former Serbia and Montenegro,906200000,1105000000,40600000,40610000,1278000,1569000,,,,,,,
1996,Former Serbia and Montenegro,671100000,2781000000,40530000,40540000,1278000,2859000,,,,,,,
1997,Former Serbia and Montenegro,688100000,2752000000,42980000,43000000,1161000,3915000,,,,,,,
1998,Former Serbia and Montenegro,942100000,2940000000,44080000,44180000,1045000,3684000,,,,,,,
1999,Former Serbia and Montenegro,679100000,1729000000,33100000,33260000,1045000,3343000,,,,,,,
2000,Former Serbia and Montenegro,543100000,543100000,37090000,37320000,929100,3628000,,,,,,,
2001,Former Serbia and Montenegro,602100000,602100000,36340000,36560000,871000,4758000,,,,,,,
2002,Former Serbia and Montenegro,600100000,2290000000,38400000,38600000,813000,4867000,,,,,,,
2003,Former Serbia and Montenegro,330000000,2200000000,40280000,40470000,783900,4917000,,,,,,,
2004,Former Serbia and Montenegro,240000000,2340000000,41160000,41440000,754900,4941000,,,,,,,
2005,Former Serbia and Montenegro,250000000,2400000000,36400000,36650000,706200,4999000,,,,,,,
1973,Former U.S.S.R.,,,,,483400000,,,,,,,,
1974,Former U.S.S.R.,,,,,517500000,,,,,,,,
1975,Former U.S.S.R.,,,,,553000000,,,,,,,,
1976,Former U.S.S.R.,,,,,584200000,,,,,,,,
1977,Former U.S.S.R.,,,,,615700000,,,,,,,,
1978,Former U.S.S.R.,,,,,644900000,,,,,,,,
1979,Former U.S.S.R.,,,,,661100000,,,,,,,,
1980,Former U.S.S.R.,4.353E+11,3.774E+11,716000000,665500000,679800000,522300000,,,,,,,
1981,Former U.S.S.R.,4.653E+11,4.089E+11,704000000,626800000,688100000,518900000,,,,,,,
1982,Former U.S.S.R.,5.007E+11,4.396E+11,718000000,627800000,691700000,527000000,,,,,,,
1983,Former U.S.S.R.,5.36E+11,4.764E+11,716000000,625300000,695200000,519700000,,,,,,,
1984,Former U.S.S.R.,5.875E+11,5.243E+11,712000000,619600000,688800000,517400000,,,,,,,
1985,Former U.S.S.R.,6.431E+11,5.75E+11,726000000,611400000,672700000,519700000,,,,,,,
1986,Former U.S.S.R.,6.852E+11,6.095E+11,751000000,620000000,690700000,521200000,,,,,,,
1987,Former U.S.S.R.,7.181E+11,6.361E+11,760000000,650300000,699800000,522300000,,,,,,,
1988,Former U.S.S.R.,7.701E+11,6.823E+11,771000000,653200000,699900000,516300000,,,,,,,
1989,Former U.S.S.R.,7.961E+11,6.947E+11,741000000,652100000,680300000,507500000,,,,,,,
1990,Former U.S.S.R.,8.151E+11,7.069E+11,711000000,640300000,637300000,487400000,,,,,,,
1991,Former U.S.S.R.,8.106E+11,7.084E+11,636500000,610000000,580200000,484900000,,,,,,,
1980,Former Yugoslavia,1812000000,3597000000,41300000,44160000,4994000,17480000,,,,,,,
1981,Former Yugoslavia,1897000000,4446000000,51920000,54840000,4994000,16550000,,,,,,,
1982,Former Yugoslavia,1756000000,4390000000,54660000,57480000,5052000,16610000,,,,,,,
1983,Former Yugoslavia,1586000000,4220000000,59390000,63260000,4820000,15500000,,,,,,,
1984,Former Yugoslavia,2039000000,5664000000,65070000,69410000,4646000,18870000,,,,,,,
1985,Former Yugoslavia,2322000000,5891000000,69870000,74050000,4994000,19220000,,,,,,,
1986,Former Yugoslavia,2436000000,6344000000,69860000,74270000,4878000,17710000,,,,,,,
1987,Former Yugoslavia,2181000000,7448000000,71460000,75030000,4588000,18260000,,,,,,,
1988,Former Yugoslavia,3030000000,7307000000,72580000,76670000,4355000,18400000,,,,,,,
1989,Former Yugoslavia,2860000000,8128000000,74600000,77940000,4065000,18020000,,,,,,,
1990,Former Yugoslavia,2662000000,7023000000,75850000,78960000,3716000,18380000,,,,,,,
1991,Former Yugoslavia,2605000000,6995000000,70790000,72940000,3484000,14600000,,,,,,,
1973,France,,,,,,151000000,,,,,,2.906,51980000
1974,France,,,,,,142100000,,,,,,2.714,52360000
1975,France,,,,,,130800000,,,,,,2.482,52690000
1976,France,,,,,,140500000,,,,,,2.653,52970000
1977,France,,,,,,133200000,,,,,,2.504,53210000
1978,France,,,,,,139800000,,,,,,2.617,53420000
1979,France,,,,,,143000000,,,,,,2.667,53640000
1980,France,7930000000,27780000000,20710000,50650000,1510000,131000000,147.2,515.7,0.3844,0.9403,0.02803,2.432,53870000
1981,France,7307000000,28400000000,20830000,45360000,1974000,117500000,135,524.8,0.3849,0.8381,0.03648,2.171,54120000
1982,France,7080000000,27730000000,19960000,48030000,1974000,109200000,130.2,509.7,0.3669,0.8831,0.0363,2.007,54390000
1983,France,6995000000,28290000000,19610000,42490000,2032000,106600000,127.9,517.4,0.3587,0.7772,0.03717,1.949,54680000
1984,France,6712000000,30560000000,19020000,40420000,2032000,102800000,122.1,555.9,0.346,0.7354,0.03698,1.871,54970000
1985,France,5721000000,31440000000,16960000,38630000,2904000,101800000,103.5,568.9,0.307,0.6991,0.05255,1.842,55250000
1986,France,4503000000,31970000000,16540000,32920000,3484000,102400000,81.07,575.6,0.2977,0.5927,0.06273,1.844,55550000
1987,France,3795000000,29400000000,15800000,29510000,3775000,103700000,67.96,526.5,0.283,0.5285,0.0676,1.857,55840000
1988,France,3200000000,27270000000,13800000,28660000,3891000,104600000,57.02,485.9,0.2458,0.5106,0.06932,1.864,56130000
1989,France,3059000000,27870000000,13640000,31260000,3775000,107100000,54.23,494.1,0.2418,0.5542,0.06692,1.899,56400000
1990,France,2860000000,28240000000,12820000,30630000,3542000,106000000,50.48,498.3,0.2262,0.5406,0.06251,1.871,56670000
1991,France,3228000000,32040000000,12090000,32840000,3426000,112800000,56.73,562.9,0.2125,0.577,0.0602,1.981,56910000
1992,France,3154000000,32470000000,11060000,29460000,3368000,112300000,55.2,568.1,0.1935,0.5155,0.05894,1.965,57150000
1993,France,3423000000,32810000000,10250000,23220000,3228000,109100000,59.67,571.8,0.1786,0.4048,0.05626,1.902,57370000
1994,France,3533000000,32760000000,9039000,22490000,3261000,108400000,61.36,569,0.157,0.3906,0.05662,1.882,57590000
1995,France,3353000000,33490000000,8415000,24100000,2918000,111200000,58.01,579.5,0.1456,0.417,0.05049,1.924,57800000
1996,France,2911000000,37220000000,8110000,24980000,2507000,112800000,50.19,641.6,0.1398,0.4305,0.04321,1.945,58010000
1997,France,2586000000,36820000000,6809000,22190000,2071000,113900000,44.42,632.4,0.117,0.3811,0.03557,1.957,58220000
1998,France,2262000000,37180000000,5599000,26040000,2003000,116400000,38.71,636.2,0.0958,0.4456,0.03427,1.992,58440000
1999,France,2067000000,39160000000,5092000,23760000,1770000,116000000,35.21,667,0.08674,0.4048,0.03016,1.975,58700000
2000,France,1878000000,39730000000,3462000,22640000,1684000,115300000,31.83,673.2,0.05866,0.3836,0.02854,1.953,59020000
2001,France,1910000000,41660000000,2296000,19940000,1621000,117600000,32.17,701.5,0.03866,0.3358,0.0273,1.98,59380000
2002,France,1850000000,43280000000,1631000,19720000,1563000,115600000,30.94,723.6,0.02727,0.3298,0.02614,1.934,59800000
2003,France,1610000000,42790000000,1739000,20250000,1398000,116200000,26.72,710.1,0.02886,0.336,0.0232,1.928,60250000
2004,France,1400000000,45420000000,160000,19630000,1355000,116600000,23.07,748.2,0.002636,0.3233,0.02232,1.92,60700000
2005,France,1150000000,49290000000,0,21520000,1239000,115500000,18.82,806.4,0,0.352,0.02027,1.89,61120000
2006,France,1230000000,49920000000,0,19960000,1248000,115600000,20,811.5,0,0.3245,0.0203,1.879,61510000
2007,France,1080000000,46910000000,0,20760000,1152000,114600000,17.46,758.1,0,0.3355,0.01862,1.853,61870000
2008,France,920100000,49180000000,0,19390000,1132000,112300000,14.79,790.5,0,0.3117,0.0182,1.805,62210000
2009,France,880100000,47170000000,0,15640000,1054000,108000000,14.07,754.1,0,0.2501,0.01685,1.727,62540000
2010,France,750100000,48000000000,0,16510000,1050000,105500000,11.93,763.3,0,0.2625,0.0167,1.678,62880000
2011,France,620100000,46860000000,0,13950000,1035000,106000000,9.808,741.1,0,0.2206,0.01638,1.677,63220000
2012,France,523100000,42150000000,0,16280000,943700,104000000,8.229,663,0,0.2561,0.01485,1.636,63560000
2013,France,340000000,43950000000,0,17320000,929300,102500000,5.322,687.9,0,0.2711,0.01454,1.605,63890000
2014,France,17000000,36090000000,0,12910000,890600,101400000,0.2649,562.2,0,0.2011,0.01387,1.579,64190000
2015,France,21000000,38030000000,0,12510000,968100,101500000,0.3259,590.1,0,0.1941,0.01502,1.574,64450000
2016,France,20000000,41650000000,0,12740000,953400,99270000,0.3093,644,0,0.197,0.01474,1.535,64670000
2017,France,16000000,41890000000,0,14400000,882700,100900000,0.2468,646,0,0.2221,0.01361,1.555,64840000
2018,France,8767000,39990000000,0,12410000,903700,97900000,0.1349,615.4,0,0.191,0.0139,1.506,64990000
2019,France,16230000,41220000000,0,9886000,845400,98050000,0.2493,632.9,0,0.1518,0.01298,1.505,65130000
2020,France,,38200000000,0,7938000,751300,82520000,,585.2,0,0.1216,0.01151,1.264,65270000
2021,France,,,,,,,,,,,,,65430000
1980,French Guiana,0,0,0,0,0,145200,0,0,0,0,0,2.141,67800
1981,French Guiana,0,0,0,0,0,127800,,,,,,,
1982,French Guiana,0,0,0,0,0,156800,,,,,,,
1983,French Guiana,0,0,0,0,0,162600,,,,,,,
1984,French Guiana,0,0,0,0,0,127800,,,,,,,
1985,French Guiana,0,0,0,0,0,127800,,,,,,,
1986,French Guiana,0,0,0,0,0,149700,,,,,,,
1987,French Guiana,0,0,0,0,0,167500,,,,,,,
1988,French Guiana,0,0,0,0,0,191400,,,,,,,
1989,French Guiana,0,0,0,0,0,221000,,,,,,,
1990,French Guiana,0,0,0,0,0,264000,0,0,0,0,0,2.256,117000
1991,French Guiana,0,0,0,0,0,289200,,,,,,,
1992,French Guiana,0,0,0,0,0,236600,,,,,,,
1993,French Guiana,0,0,0,0,0,311500,,,,,,,
1994,French Guiana,0,0,0,0,0,311500,,,,,,,
1995,French Guiana,0,0,0,0,0,363700,,,,,,,
1996,French Guiana,0,0,0,0,0,357900,,,,,,,
1997,French Guiana,0,0,0,0,0,363700,,,,,,,
1998,French Guiana,0,0,0,0,0,363700,,,,,,,
1999,French Guiana,0,0,0,0,0,363700,,,,,,,
2000,French Guiana,0,0,0,0,0,214900,0,0,0,0,0,1.303,165000
2001,French Guiana,0,0,0,0,0,240000,0,0,0,0,0,1.398,171600
2002,French Guiana,0,0,0,0,0,209500,0,0,0,0,0,1.176,178200
2003,French Guiana,0,0,0,0,0,261600,0,0,0,0,0,1.415,184800
2004,French Guiana,0,0,0,0,0,256200,0,0,0,0,0,1.338,191400
2005,French Guiana,0,0,0,0,0,250300,0,0,0,0,0,1.264,198100
2006,French Guiana,0,0,0,0,0,220900,0,0,0,0,0,1.079,204700
2007,French Guiana,0,0,0,0,0,248700,0,0,0,0,0,1.177,211300
2008,French Guiana,0,0,0,0,0,250000,0,0,0,0,0,1.147,217900
2009,French Guiana,0,0,0,0,0,318600,0,0,0,0,0,1.419,224500
2010,French Guiana,0,0,0,0,0,287600,0,0,0,0,0,1.244,231200
2011,French Guiana,0,0,0,0,0,316800,0,0,0,0,0,1.339,236600
2012,French Guiana,0,0,0,0,0,257900,0,0,0,0,0,1.066,242000
2013,French Guiana,0,0,0,0,0,281900,0,0,0,0,0,1.139,247400
2014,French Guiana,0,0,0,0,0,299500,0,0,0,0,0,1.184,252800
2015,French Guiana,0,0,0,0,0,299900,0,0,0,0,0,1.161,258200
2016,French Guiana,0,0,0,0,0,330300,0,0,0,0,0,1.253,263700
2017,French Guiana,0,0,0,0,0,326200,0,0,0,0,0,1.212,269100
2018,French Guiana,0,0,0,0,0,326200,,,,,,,
2019,French Guiana,0,0,0,0,0,326200,,,,,,,
2020,French Guiana,0,0,0,0,0,,,,,,,,
2021,French Guiana,,,,,,,,,,,,,
1980,French Polynesia,0,0,0,0,0,87100,,,,,,,
1981,French Polynesia,0,0,0,0,0,133600,,,,,,,
1982,French Polynesia,0,0,0,0,0,174200,,,,,,,
1983,French Polynesia,0,0,0,0,0,232300,,,,,,,
1984,French Polynesia,0,0,0,0,0,348400,,,,,,,
1985,French Polynesia,0,0,0,0,0,302000,,,,,,,
1986,French Polynesia,0,0,0,0,0,384500,,,,,,,
1987,French Polynesia,0,0,0,0,0,384500,,,,,,,
1988,French Polynesia,0,0,0,0,0,378400,,,,,,,
1989,French Polynesia,0,0,0,0,0,381500,,,,,,,
1990,French Polynesia,0,0,0,0,0,360800,,,,,,,
1991,French Polynesia,0,0,0,0,0,360800,,,,,,,
1992,French Polynesia,0,0,0,0,0,339300,,,,,,,
1993,French Polynesia,0,0,0,0,0,339300,,,,,,,
1994,French Polynesia,0,0,0,0,0,268400,,,,,,,
1995,French Polynesia,0,0,0,0,0,280000,,,,,,,
1996,French Polynesia,0,0,0,0,0,274200,,,,,,,
1997,French Polynesia,0,0,0,0,0,280000,,,,,,,
1998,French Polynesia,0,0,0,0,0,280000,,,,,,,
1999,French Polynesia,0,0,0,0,0,280000,,,,,,,
2000,French Polynesia,0,0,0,0,0,304700,,,,,,,
2001,French Polynesia,0,0,0,0,0,340100,,,,,,,
2002,French Polynesia,0,0,0,0,0,354500,,,,,,,
2003,French Polynesia,0,0,0,0,0,380000,,,,,,,
2004,French Polynesia,0,0,0,0,0,370700,,,,,,,
2005,French Polynesia,0,0,0,0,0,388200,,,,,,,
2006,French Polynesia,0,0,0,0,0,377000,,,,,,,
2007,French Polynesia,0,0,0,0,0,398100,,,,,,,
2008,French Polynesia,0,0,0,0,0,407100,,,,,,,
2009,French Polynesia,0,0,0,0,0,406000,,,,,,,
2010,French Polynesia,0,0,0,0,0,406200,,,,,,,
2011,French Polynesia,0,0,0,0,0,390600,,,,,,,
2012,French Polynesia,0,0,0,0,0,379300,,,,,,,
2013,French Polynesia,0,0,0,0,0,385000,,,,,,,
2014,French Polynesia,0,0,0,0,0,376500,,,,,,,
2015,French Polynesia,0,0,0,0,0,394000,,,,,,,
2016,French Polynesia,0,0,0,0,0,387400,,,,,,,
2017,French Polynesia,0,0,0,0,0,377300,,,,,,,
2018,French Polynesia,0,0,0,0,0,388700,,,,,,,
2019,French Polynesia,0,0,0,0,0,388700,,,,,,,
2020,French Polynesia,0,0,0,0,0,,,,,,,,
2021,French Polynesia,,,,,,,,,,,,,
1973,Gabon,,,,,8710000,,,,,,13.98,,622900
1974,Gabon,,,,,11730000,,,,,,18.48,,634700
1975,Gabon,,,,,12950000,,,,,,20,,647500
1976,Gabon,,,,,12950000,,,,,,19.58,,661400
1977,Gabon,,,,,12890000,,,,,,19.06,,676300
1978,Gabon,,,,,12140000,,,,,,17.54,,692100
1979,Gabon,,,,,11790000,,,,,,16.63,,708800
1980,Gabon,70800000,70800000,0,0,10160000,638800,97.48,97.48,0,0,13.99,0.8794,726300
1981,Gabon,59470000,59470000,0,0,8769000,696800,79.86,79.86,0,0,11.77,0.9357,744700
1982,Gabon,56640000,56640000,0,0,9059000,638800,74.14,74.14,0,0,11.86,0.8362,763900
1983,Gabon,150100000,150100000,0,0,9117000,813000,191.4,191.4,0,0,11.63,1.037,784100
1984,Gabon,150100000,150100000,0,0,9117000,696800,186.4,186.4,0,0,11.32,0.8655,805100
1985,Gabon,56640000,56640000,0,0,9988000,638800,68.48,68.48,0,0,12.08,0.7723,827100
1986,Gabon,28320000,28320000,0,0,9640000,574900,33.32,33.32,0,0,11.34,0.6763,850100
1987,Gabon,116100000,116100000,0,0,9001000,603900,132.9,132.9,0,0,10.3,0.6911,873900
1988,Gabon,99120000,99120000,0,0,9233000,679400,110.3,110.3,0,0,10.28,0.7562,898500
1989,Gabon,90620000,90620000,0,0,12080000,905900,98.11,98.11,0,0,13.08,0.9807,923700
1990,Gabon,84960000,84960000,0,0,15670000,888500,89.48,89.48,0,0,16.51,0.9357,949500
1991,Gabon,100500000,100500000,0,0,17070000,905900,103,103,0,0,17.49,0.9284,975800
1992,Gabon,100000000,100000000,0,0,17280000,934900,99.76,99.76,0,0,17.24,0.9325,1003000
1993,Gabon,100000000,100000000,0,0,18200000,876900,97.12,97.12,0,0,17.68,0.8515,1030000
1994,Gabon,99970000,99970000,0,0,19080000,888500,94.56,94.56,0,0,18.05,0.8404,1057000
1995,Gabon,99970000,99970000,0,0,21180000,813000,92.14,92.14,0,0,19.52,0.7493,1085000
1996,Gabon,100000000,100000000,0,0,21390000,871000,89.86,89.86,0,0,19.22,0.7827,1113000
1997,Gabon,100000000,100000000,0,0,21500000,929100,87.63,87.63,0,0,18.84,0.8141,1141000
1998,Gabon,100000000,100000000,0,0,20430000,894300,85.48,85.48,0,0,17.46,0.7643,1170000
1999,Gabon,100000000,100000000,0,0,19220000,1063000,83.41,83.41,0,0,16.03,0.8863,1199000
2000,Gabon,80010000,80010000,0,0,18290000,763200,65.14,65.14,0,0,14.89,0.6213,1228000
2001,Gabon,80010000,80010000,0,0,15680000,829600,63.6,63.6,0,0,12.46,0.6595,1258000
2002,Gabon,90010000,90010000,0,0,14590000,809900,69.87,69.87,0,0,11.32,0.6287,1288000
2003,Gabon,90010000,90010000,0,0,14020000,784200,68.19,68.19,0,0,10.62,0.5941,1320000
2004,Gabon,100000000,100000000,0,0,13880000,797300,73.88,73.88,0,0,10.25,0.5889,1354000
2005,Gabon,100000000,100000000,0,0,15470000,901000,71.92,71.92,0,0,11.12,0.648,1391000
2006,Gabon,100000000,100000000,0,0,13780000,902800,69.93,69.93,0,0,9.632,0.6313,1430000
2007,Gabon,80010000,80010000,0,0,14180000,957100,54.33,54.33,0,0,9.631,0.65,1473000
2008,Gabon,80010000,80010000,0,0,14410000,955400,52.69,52.69,0,0,9.489,0.6291,1519000
2009,Gabon,80010000,80010000,0,0,14060000,934000,51,51,0,0,8.962,0.5953,1569000
2010,Gabon,80010000,80010000,0,0,14280000,1165000,49.26,49.26,0,0,8.791,0.7172,1624000
2011,Gabon,70010000,70010000,0,0,14020000,1228000,41.56,41.56,0,0,8.32,0.7287,1685000
2012,Gabon,385000000,385000000,0,0,13360000,1276000,220.1,220.1,0,0,7.633,0.7295,1750000
2013,Gabon,318000000,318000000,0,0,12780000,1339000,175,175,0,0,7.031,0.7369,1817000
2014,Gabon,420100000,420100000,0,0,12780000,1338000,223,223,0,0,6.782,0.7104,1884000
2015,Gabon,378000000,378000000,0,0,12390000,1281000,194.1,194.1,0,0,6.36,0.6579,1948000
2016,Gabon,379000000,379000000,0,0,12240000,1258000,188.8,188.8,0,0,6.097,0.6265,2008000
2017,Gabon,334900000,334900000,0,0,11550000,1258000,162.2,162.2,0,0,5.592,0.6093,2065000
2018,Gabon,364500000,364500000,0,0,11370000,1023000,172,172,0,0,5.366,0.4828,2119000
2019,Gabon,319100000,319100000,0,0,11720000,834500,146.9,146.9,0,0,5.393,0.3841,2173000
2020,Gabon,,,0,0,10080000,,,,0,0,4.53,,2226000
2021,Gabon,,,,,,,,,,,,,2279000
1980,Gambia,0,0,0,0,0,63880,0,0,0,0,0,0.1002,637300
1981,Gambia,0,0,0,0,0,63880,0,0,0,0,0,0.09714,657600
1982,Gambia,0,0,0,0,0,63880,0,0,0,0,0,0.0942,678100
1983,Gambia,0,0,0,0,0,63880,0,0,0,0,0,0.09123,700200
1984,Gambia,0,0,0,0,0,69680,0,0,0,0,0,0.09602,725700
1985,Gambia,0,0,0,0,0,69680,0,0,0,0,0,0.0922,755800
1986,Gambia,0,0,0,0,0,62990,0,0,0,0,0,0.07962,791100
1987,Gambia,0,0,0,0,0,76550,0,0,0,0,0,0.09212,831000
1988,Gambia,0,0,0,0,0,76550,0,0,0,0,0,0.08764,873400
1989,Gambia,0,0,0,0,0,76550,0,0,0,0,0,0.0836,915600
1990,Gambia,0,0,0,0,0,76900,0,0,0,0,0,0.08047,955600
1991,Gambia,0,0,0,0,0,76550,0,0,0,0,0,0.07712,992700
1992,Gambia,0,0,0,0,0,76550,0,0,0,0,0,0.0745,1027000
1993,Gambia,0,0,0,0,0,82360,0,0,0,0,0,0.07763,1061000
1994,Gambia,0,0,0,0,0,95030,0,0,0,0,0,0.08685,1094000
1995,Gambia,0,0,0,0,0,88160,0,0,0,0,0,0.07812,1129000
1996,Gambia,0,0,0,0,0,88160,0,0,0,0,0,0.07573,1164000
1997,Gambia,0,0,0,0,0,88160,0,0,0,0,0,0.07344,1201000
1998,Gambia,0,0,0,0,0,93970,0,0,0,0,0,0.0759,1238000
1999,Gambia,0,0,0,0,0,93970,0,0,0,0,0,0.07358,1277000
2000,Gambia,0,0,0,0,0,122000,0,0,0,0,0,0.09261,1318000
2001,Gambia,0,0,0,0,0,132800,0,0,0,0,0,0.09764,1360000
2002,Gambia,0,0,0,0,0,133400,0,0,0,0,0,0.09497,1404000
2003,Gambia,0,0,0,0,0,133400,0,0,0,0,0,0.09198,1450000
2004,Gambia,0,0,0,0,0,139800,0,0,0,0,0,0.09343,1497000
2005,Gambia,0,0,0,0,0,141300,0,0,0,0,0,0.09151,1544000
2006,Gambia,0,0,0,0,0,152800,0,0,0,0,0,0.09601,1591000
2007,Gambia,0,0,0,0,0,161100,0,0,0,0,0,0.09821,1640000
